business_name,phone,email,website,rating,address,problems_found,message_sent,status,created_at
BarberClub Agadir💈 🇲🇦,212609708775,,,5,"Barberclub Agadir, Ave du 29 Fevrier, Agadir 80000, Morocco",,,new,2026-06-24T23:22:38.043725
Gold Cut Barbershop Agadir,212642297310,,,4.9,"Gold Cut, complexe souss, Rue des Souks, Agadir 80000, Morocco",,,new,2026-06-24T23:22:38.148133
The Barber Shop Agadir,212632414145,,https://thebarbershopagadir.com/,4.8,"Rue Aglou, Agadir 80000, Morocco",,,new,2026-06-24T23:22:38.259697
"Salon Allure Agadir - Hair, Gel Manucure, Skin care, Hydrafacial & Barber",212602010167,,https://salonallure.ma/,4.6,"Green Plus، Immeuble Borj، Boulevard Casablanca، أگادير 80040, Morocco",,,new,2026-06-24T23:22:38.362177
Fasi barber,212775670608,,,4.8,"CC84+QXH, Agadir 80000, Morocco",,,new,2026-06-24T23:22:38.467868
مؤسسة إقرأ التربوية للتعليم المدرسي الخصوصي,212528854004,,,4.1,"F47G+H9Q, Taroudant, Morocco",,,new,2026-06-26T18:44:47.123383+00:00
École Privée Al Amal,212528852946,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:44:47.243382+00:00
Campus Science Health Private - Cssp,212528852846,,,0,"Bab lakhmiss à côté de Sigma, Taroudant 83000, Morocco",,,new,2026-06-26T18:44:47.364868+00:00
Private School Tarik 1,,,,0,"F49F+GPH, Taroudant, Morocco",,,new,2026-06-26T18:44:47.507270+00:00
Ecole Privée Tarik 2,212661993985,,,0,"F4FC+GXF, Av. Brahim Roudani, Taroudant 83000, Morocco",,,new,2026-06-26T18:44:47.616862+00:00
Ecole Privée Al-Maari | مؤسسة المعري للتربية والتعليم الخصوصي,,,,0,"83000, Taroudant, Morocco",,,new,2026-06-26T18:44:47.711016+00:00
Groupe scolaire Bononi,212528850202,,https://groupescolairebononi.com/,0,"F4GQ+52J, Taroudant, Morocco",,,new,2026-06-26T18:44:48.046674+00:00
Institution Enigma Private,212626102452,,,0,"464, Taroudant, Morocco",,,new,2026-06-26T18:44:48.160975+00:00
Institution Enigma Privée,212626102452,,,0,"حي اقنيس بلوك 3 امام نادي الواحة الرياضي قرب مركز, الشرطة, Taroudant 83000, Morocco",,,new,2026-06-26T18:44:48.267240+00:00
School Bounouni,,,,0,"F4GQ+622, Taroudant, Morocco",,,new,2026-06-26T18:44:48.380497+00:00
School Sabil,,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:44:48.484128+00:00
Ecole Nationale Supérieure de l'Intelligence Artificielle et Sciences des Données,,,http://ensiasd.uiz.ac.ma/,4.8,"F4VM+7CW, Taroudant, Morocco",,,new,2026-06-26T18:44:48.610554+00:00
École privée Al Amal,,,,0,"F4CC+V77 École privée Al Amal, Taroudant, Morocco",,,new,2026-06-26T18:44:48.711927+00:00
Pigier,212528853203,,,0,"82 Bd 20 Août, Taroudant, Morocco",,,new,2026-06-26T18:44:48.806550+00:00
مركز عكاض للتعليم,212660726248,,,0,"عمارة سارة, Taroudant 83000, Morocco",,,new,2026-06-26T18:44:48.934224+00:00
School Group Omega,212528855329,,,0,"F475+V3F, P1708, Taroudant, Morocco",,,new,2026-06-26T18:44:49.025339+00:00
مؤسسة إقرأ التربوية للتعليم المدرسي الخصوصي,212528854004,,,4.1,"F47G+H9Q, Taroudant, Morocco",,,new,2026-06-26T18:46:29.376646+00:00
École Privée Al Amal,212528852946,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:46:29.471194+00:00
Private School Tarik 1,,,,0,"F49F+GPH, Taroudant, Morocco",,,new,2026-06-26T18:46:29.561094+00:00
Ecole Privée Al-Maari | مؤسسة المعري للتربية والتعليم الخصوصي,,,,0,"83000, Taroudant, Morocco",,,new,2026-06-26T18:46:29.639715+00:00
Ecole Privée Tarik 2,212661993985,,,0,"F4FC+GXF, Av. Brahim Roudani, Taroudant 83000, Morocco",,,new,2026-06-26T18:46:29.719440+00:00
School Bounouni,,,,0,"F4GQ+622, Taroudant, Morocco",,,new,2026-06-26T18:46:29.800731+00:00
Campus Science Health Private - Cssp,212528852846,,,0,"Bab lakhmiss à côté de Sigma, Taroudant 83000, Morocco",,,new,2026-06-26T18:46:29.886557+00:00
Groupe scolaire Bononi,212528850202,,https://groupescolairebononi.com/,0,"F4GQ+52J, Taroudant, Morocco",,,new,2026-06-26T18:46:29.963279+00:00
Institution Enigma Private,212626102452,,,0,"464, Taroudant, Morocco",,,new,2026-06-26T18:46:30.038852+00:00
School Sabil,,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:46:30.117927+00:00
Institution Enigma Privée,212626102452,,,0,"حي اقنيس بلوك 3 امام نادي الواحة الرياضي قرب مركز, الشرطة, Taroudant 83000, Morocco",,,new,2026-06-26T18:46:30.199563+00:00
École Privée Al Amal,212528852946,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:48:19.511252+00:00
مؤسسة إقرأ التربوية للتعليم المدرسي الخصوصي,212528854004,,,4.1,"F47G+H9Q, Taroudant, Morocco",,,new,2026-06-26T18:48:19.625315+00:00
Ecole Privée Al-Maari | مؤسسة المعري للتربية والتعليم الخصوصي,,,,0,"83000, Taroudant, Morocco",,,new,2026-06-26T18:48:19.738380+00:00
School Bounouni,,,,0,"F4GQ+622, Taroudant, Morocco",,,new,2026-06-26T18:48:19.847149+00:00
School Group Omega,212528855329,,,0,"F475+V3F, P1708, Taroudant, Morocco",,,new,2026-06-26T18:48:19.955711+00:00
École Privée Al Amal,212528852946,,,0,"Taroudant, Morocco",,,new,2026-06-26T18:48:59.119723+00:00
مؤسسة إقرأ التربوية للتعليم المدرسي الخصوصي,212528854004,,,4.1,"F47G+H9Q, Taroudant, Morocco",,,new,2026-06-26T18:48:59.225395+00:00
Ecole Privée Al-Maari | مؤسسة المعري للتربية والتعليم الخصوصي,,,,0,"83000, Taroudant, Morocco",,,new,2026-06-26T18:48:59.315212+00:00
School Bounouni,,,,0,"F4GQ+622, Taroudant, Morocco",,,new,2026-06-26T18:48:59.440688+00:00
School Group Omega,212528855329,,,0,"F475+V3F, P1708, Taroudant, Morocco",,,new,2026-06-26T18:48:59.592551+00:00
Institution Enigma Private,212626102452,,,0,"464, Taroudant, Morocco",,,new,2026-06-26T18:48:59.975505+00:00
Ecole Privée Tarik 2,212661993985,,,0,"F4FC+GXF, Av. Brahim Roudani, Taroudant 83000, Morocco",,,new,2026-06-26T18:49:00.140919+00:00
School Al Mansour Dahbi,,,,0,"F4HJ+2M3, Taroudant, Morocco",,,new,2026-06-26T18:49:00.234818+00:00
Institution Enigma Privée,212626102452,,,0,"حي اقنيس بلوك 3 امام نادي الواحة الرياضي قرب مركز, الشرطة, Taroudant 83000, Morocco",,,new,2026-06-26T18:49:00.321875+00:00
Institution Gold Number,212620069844,,,0,"F4F8+347, Av. 20 Août, Taroudant, Morocco",,,new,2026-06-26T18:49:00.415218+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T21:58:29.946418+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.020133+00:00
Ecole Al Hanane Agadir,212528226700,,http://www.alhanane1.com/,0,"Institution Al Hanane 1 privée, ANnoir Souss, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.097863+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.180259+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.263042+00:00
Hespa Haute Ecole De Sante Privee D'agadir,212528826262,,http://www.hespa.ma/,5,"Appt. A4, A5, A6 Imm HAMRIA, Av ALMOUKAWAMA, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.348329+00:00
School Group Le Defi,212528214384,,,0,"Cité administrative, barreau Est Ouest derrière, Appeal Court of Agadir, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.426798+00:00
School Jocelyne Private,212528844612,,,4.2,"CCC7+X96, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.504591+00:00
Groupe Scolaire Denis Diderot,212528211333,,https://www.gsd-diderot.com/,0,"Avenue Errachidia n° 2، Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.578969+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.667241+00:00
École Azzahrae Privée,212528321880,,https://institutionazahrae.com/,0,"9CWX+5PJ, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.754326+00:00
Groupe Universitaire Prive des ecoles superieures ( GUES ),212661550930,,,3.1,"CCF5+FRJ, Ave du 29 Fevrier, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.833746+00:00
Institution Les Iris,212528320909,,,4.2,"passage n°2, N°26, Agadir 80070, Morocco",,,new,2026-06-27T21:58:30.915124+00:00
School Annour Private,212528228724,,,0,"École Enour privé, Agadir 80000, Morocco",,,new,2026-06-27T21:58:30.994047+00:00
School Gauthier,212528211761,,http://www.ecolegauthier.com/,0,"Lot O42, Quartier Sonaba، Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.074731+00:00
Amale Private School,212528322999,,https://ecole.center/wp/ecole-privee-amale/,0,"Hay El Houda F5، Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.149978+00:00
Institution Al Balagha,212528281763,,,0,"Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.229325+00:00
School Rokaya,212652888579,,,0,"80030, Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.304546+00:00
Cned Agadir Centre Eureka,212528824651,,https://centre-eureka.net/,4.6,"Bam، أگادير 80000, Morocco",,,new,2026-06-27T21:58:31.381592+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T21:58:31.458303+00:00
École Maria Privée,212528826326,,http://ecolemaria.com/,0,"Illigh Lot 463، Agadir 80000, Morocco",,,new,2026-06-27T21:58:49.294105+00:00
"Private School Maria Taddart : Crèche, Poussins, Maternelle",212528826158,,http://ecolemaria.com/,4.8,"Taddart II Villa، Agadir 80000, Morocco",,,new,2026-06-27T21:58:49.445569+00:00
School Chahine Privé مؤسسة شاهين,,,https://ecole.center/wp/ecole-privee-chahine/,0,"CCF8+F27, Agadir 80000, Morocco",,,new,2026-06-27T21:58:49.576236+00:00
Cned Agadir Excellentia Academy,212607565743,,https://excellentiacademy.com/,4.8,"N°2 Rue 443, Agadir 80000, Morocco",,,new,2026-06-27T21:58:49.911442+00:00
El Kati Private,212774512611,,,5,"63 Av. Mohamed El Fassi, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.007330+00:00
School Les Arcs Private,212528321196,,,4.5,"CF36+5MC, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.087028+00:00
Institution Anna Privée,212808593401,,,3.5,"rue 823, angle AV abderrahmane alhoudaygui et, Av. Omar Al Mokhtar, Agadir 80000, Morocco",,,new,2026-06-27T21:58:50.174224+00:00
